LECROYWRHRO66Zi	56744	Histogram
Segments	1	SegmentSize	2000
Segment	TrigTime	TimeSinceSegment1
#1	13-Nov-2013 11:38:33	0                 
Time	Ampl
-1.569e-010	2
-1.568e-010	0
-1.567e-010	1
-1.566e-010	0
-1.565e-010	0
-1.564e-010	0
-1.563e-010	0
-1.562e-010	0
-1.561e-010	1
-1.56e-010	0
-1.559e-010	0
-1.558e-010	0
-1.557e-010	0
-1.556e-010	0
-1.555e-010	1
-1.554e-010	1
-1.553e-010	0
-1.552e-010	0
-1.551e-010	0
-1.55e-010	0
-1.549e-010	0
-1.548e-010	1
-1.547e-010	1
-1.546e-010	0
-1.545e-010	2
-1.544e-010	1
-1.543e-010	0
-1.542e-010	2
-1.541e-010	0
-1.54e-010	0
-1.539e-010	1
-1.538e-010	1
-1.537e-010	0
-1.536e-010	1
-1.535e-010	1
-1.534e-010	1
-1.533e-010	0
-1.532e-010	0
-1.531e-010	1
-1.53e-010	0
-1.529e-010	1
-1.528e-010	0
-1.527e-010	2
-1.526e-010	0
-1.525e-010	2
-1.524e-010	2
-1.523e-010	0
-1.522e-010	1
-1.521e-010	0
-1.52e-010	0
-1.519e-010	2
-1.518e-010	0
-1.517e-010	1
-1.516e-010	0
-1.515e-010	0
-1.514e-010	0
-1.513e-010	0
-1.512e-010	1
-1.511e-010	0
-1.51e-010	1
-1.509e-010	0
-1.508e-010	1
-1.507e-010	2
-1.506e-010	0
-1.505e-010	1
-1.504e-010	2
-1.503e-010	0
-1.502e-010	1
-1.501e-010	0
-1.5e-010	0
-1.499e-010	0
-1.498e-010	1
-1.497e-010	1
-1.496e-010	0
-1.495e-010	1
-1.494e-010	0
-1.493e-010	1
-1.492e-010	0
-1.491e-010	0
-1.49e-010	0
-1.489e-010	0
-1.488e-010	1
-1.487e-010	2
-1.486e-010	1
-1.485e-010	2
-1.484e-010	0
-1.483e-010	0
-1.482e-010	0
-1.481e-010	2
-1.48e-010	0
-1.479e-010	1
-1.478e-010	1
-1.477e-010	1
-1.476e-010	1
-1.475e-010	1
-1.474e-010	1
-1.473e-010	0
-1.472e-010	1
-1.471e-010	1
-1.47e-010	1
-1.469e-010	0
-1.468e-010	1
-1.467e-010	2
-1.466e-010	1
-1.465e-010	2
-1.464e-010	0
-1.463e-010	2
-1.462e-010	0
-1.461e-010	0
-1.46e-010	0
-1.459e-010	0
-1.458e-010	1
-1.457e-010	2
-1.456e-010	0
-1.455e-010	0
-1.454e-010	2
-1.453e-010	0
-1.452e-010	0
-1.451e-010	1
-1.45e-010	1
-1.449e-010	1
-1.448e-010	1
-1.447e-010	0
-1.446e-010	0
-1.445e-010	2
-1.444e-010	0
-1.443e-010	0
-1.442e-010	0
-1.441e-010	0
-1.44e-010	0
-1.439e-010	0
-1.438e-010	0
-1.437e-010	0
-1.436e-010	1
-1.435e-010	2
-1.434e-010	0
-1.433e-010	0
-1.432e-010	0
-1.431e-010	1
-1.43e-010	1
-1.429e-010	0
-1.428e-010	0
-1.427e-010	0
-1.426e-010	0
-1.425e-010	0
-1.424e-010	0
-1.423e-010	1
-1.422e-010	1
-1.421e-010	0
-1.42e-010	1
-1.419e-010	0
-1.418e-010	1
-1.417e-010	0
-1.416e-010	0
-1.415e-010	3
-1.414e-010	0
-1.413e-010	0
-1.412e-010	0
-1.411e-010	0
-1.41e-010	0
-1.409e-010	2
-1.408e-010	0
-1.407e-010	0
-1.406e-010	0
-1.405e-010	0
-1.404e-010	0
-1.403e-010	2
-1.402e-010	0
-1.401e-010	1
-1.4e-010	0
-1.399e-010	0
-1.398e-010	1
-1.397e-010	1
-1.396e-010	0
-1.395e-010	0
-1.394e-010	0
-1.393e-010	0
-1.392e-010	1
-1.391e-010	0
-1.39e-010	1
-1.389e-010	1
-1.388e-010	0
-1.387e-010	0
-1.386e-010	1
-1.385e-010	1
-1.384e-010	1
-1.383e-010	0
-1.382e-010	0
-1.381e-010	2
-1.38e-010	0
-1.379e-010	0
-1.378e-010	0
-1.377e-010	0
-1.376e-010	1
-1.375e-010	0
-1.374e-010	0
-1.373e-010	0
-1.372e-010	1
-1.371e-010	1
-1.37e-010	2
-1.369e-010	0
-1.368e-010	0
-1.367e-010	0
-1.366e-010	0
-1.365e-010	0
-1.364e-010	0
-1.363e-010	0
-1.362e-010	0
-1.361e-010	0
-1.36e-010	0
-1.359e-010	0
-1.358e-010	1
-1.357e-010	0
-1.356e-010	0
-1.355e-010	2
-1.354e-010	0
-1.353e-010	1
-1.352e-010	0
-1.351e-010	0
-1.35e-010	0
-1.349e-010	0
-1.348e-010	0
-1.347e-010	0
-1.346e-010	0
-1.345e-010	0
-1.344e-010	0
-1.343e-010	0
-1.342e-010	2
-1.341e-010	0
-1.34e-010	1
-1.339e-010	0
-1.338e-010	1
-1.337e-010	0
-1.336e-010	0
-1.335e-010	1
-1.334e-010	0
-1.333e-010	1
-1.332e-010	1
-1.331e-010	1
-1.33e-010	1
-1.329e-010	0
-1.328e-010	1
-1.327e-010	1
-1.326e-010	0
-1.325e-010	3
-1.324e-010	1
-1.323e-010	1
-1.322e-010	0
-1.321e-010	1
-1.32e-010	0
-1.319e-010	0
-1.318e-010	1
-1.317e-010	0
-1.316e-010	1
-1.315e-010	0
-1.314e-010	1
-1.313e-010	0
